unix_time,time_s,cable_easting_m,cable_northing_m,cable_height_m,cable_lock
1759745786.343,121626.343,619494.6463657456,5806170.738155546,41.57,1
1759745786.561,121626.561,619494.0435296041,5806172.012325843,41.62,1
1759745786.763,121626.763,619494.4407835202,5806172.007458999,41.62,1
1759745786.968,121626.968,619494.5958461959,5806170.99909217,41.6,1
1759745787.172,121627.172,619494.3958461959,5806171.06909217,41.57,1
1759745787.376,121627.376,619496.3914804861,5806170.678367403,41.57,1
1759745787.578,121627.578,619497.6225037278,5806170.91949778,41.56,1
1759745787.781,121627.781,619497.6470102,5806171.92115937,41.56,1
1759745787.983,121627.983,619497.5108761768,5806171.892439693,41.57,1
1759745788.2,121628.2,619487.6149495507,5806171.647904731,41.59,1
1759745788.401,121628.401,619489.4237935868,5806171.194778594,41.56,1
1759745788.603,121628.603,619490.2497591429,5806173.234222873,41.57,1
1759745788.805,121628.805,619490.11,5806175.68,41.58,1
1759745789.008,121629.008,619492.1401848957,5806174.27882277,41.53,1
1759745789.225,121629.225,619491.175309959,5806172.441010421,41.54,1
1759745789.428,121629.428,619491.621166849,5806173.615603778,41.56,1
1759745789.631,121629.631,619491.9434647395,5806174.7408461515,41.58,1
1759745789.832,121629.832,619491.9679793182,5806173.60409605,41.55,1
1759745790.034,121630.034,619493.4775645792,5806171.621375136,41.53,1
1759745790.253,121630.253,619493.3598442122,5806171.731168151,41.55,1
1759745790.455,121630.455,619494.3371955302,5806173.106504421,41.56,1
1759745790.66,121630.66,619494.366467562,5806172.650229067,41.54,1
1759745790.861,121630.861,619493.6432849673,5806172.152198248,41.5,1
1759745791.063,121631.063,619493.9362932814,5806172.004431086,41.52,1
1759745791.264,121631.264,619493.4748304986,5806171.836730885,41.52,1
1759745791.483,121631.483,619494.7660277674,5806171.6429274725,41.51,1
1759745791.684,121631.684,619493.8499679789,5806173.172633402,41.48,1
1759745791.888,121631.888,619489.8174218724,5806175.044962705,41.51,1
1759745792.09,121632.09,619489.8772462792,5806174.899135924,41.51,1
1759745792.293,121632.293,619488.5317653562,5806174.957717713,41.5,1
1759745792.494,121632.494,619484.4517268862,5806173.409309136,41.5,1
1759745792.712,121632.712,619487.9952501785,5806174.034242752,41.53,1
1759745792.912,121632.912,619487.0992061,5806174.74022064,41.54,1
1759745793.114,121633.114,619486.8941788382,5806174.649604722,41.54,1
1759745793.315,121633.315,619488.5778793108,5806173.940061554,41.53,1
1759745793.518,121633.518,619488.2632221068,5806173.171308943,41.53,1
1759745793.736,121633.736,619488.9677127922,5806173.232077966,41.53,1
1759745793.941,121633.941,619488.3832050223,5806173.713312999,41.54,1
1759745794.146,121634.146,619489.5652007919,5806173.428055762,41.54,1
1759745794.347,121634.347,619489.4722586804,5806173.326651501,41.54,1
1759745794.347,121634.347,619487.9991995535,5806173.737221835,41.54,1
